Date	Time	Temp	Wind_dir	Wind_spd	EF_NH3	EF_CH4	EF_N2O
20161107	8	4.16666667	352.235192	1.56123158	0.283544032	11.3043854	1.44259797
20161107	9	4	348.92062	1.53060137	0.310592383	9.07108725	1.58021292
20161107	10	4.91666667	349.011181	1.39378746	0.327324431	5.31097748	1.66534121
20161107	11	5.08333333	345.732724	1.06182839	0.389375193	10.4694596	1.65086607
20161107	12	4.91666667	346.803011	0.627906714	0.250276168	13.1604262	0.363811364
20161107	13	4.75	349.305251	0.401168823	0.359205724	11.6565299	0.548263472
20161107	14	4.83333333	342.478834	0.382756284	0.339245067	8.4138607	1.94173908
20161107	15	4.41666667	349.759402	0.522166028	0.31840752	9.50598616	1.45797687
20161107	16	4.16666667	350.367179	0.160584565	0.464864695	12.9302169	1.35149152
20161107	17	3.83333333	346.279396	0.354555285	0.622743959	11.7883318	1.18813448
20161107	18	4.41666667	339.596433	0.266785224	0.544831849	11.3075916	0.959525357
20161107	19	5	341.477122	0.511565974	0.47669664	12.1175475	0.404217999
20161107	20	5	334.253129	0.25075819	0.568068908	12.2950311	0.361273279
20161107	21	5	334.058074	0.272051575	0.881423639	9.67051899	0.685124804
20161107	22	4.91666667	339.367055	0.185740665	0.784423298	10.5234618	0.122171659
20161107	23	4.41666667	339.092756	0.188136618	1.07921344	9.45860726	0.466196275
20161108	0	3.83333333	342.012018	0.355289458	0.770665268	9.28896078	0.315075825
20161108	1	3.41666667	334.718379	0.280894775	0.611666895	9.05719835	0.411882539
20161108	2	3.66666667	337.455012	0.24593815	0.577060616	8.70130323	0.386307065
20161108	3	3.5	341.342845	0.42173179	0.531482277	8.54608924	0.347662673
20161108	4	3.08333333	335.779855	0.25199562	0.838242324	10.9558813	-0.206359258
20161108	5	2.5	352.070671	0.101287681	0.574962319	8.44053021	0.650057357
20161108	6	2.33333333	333.558026	0.243332185	0.902022827	8.59847509	0.143414267
20161108	7	2.33333333	351.596358	0.112204457	0.771963449	9.01180562	0
20161108	8	1.41666667	28.9019355	0.06537462	0.635513898	11.0550311	0
20161108	9	1.66666667	39.3460685	0.097377987	0.590857223	12.6912409	0
20161108	10	2	355.653688	0.138585158	0.55286853	12.64417	0
20161108	11	2.16666667	349.749042	0.228108087	0.407122716	12.2678	0.345222341
20161108	12	2	28.6551162	0.110299984	0.207580897	12.4138099	0.528058694
20161108	13	2.33333333	77.5639645	0.095218563	0.293129349	9.94714341	0.447409671
20161108	14	2.41666667	106.092021	0.234318588	0.419344744	12.8952872	0
20161108	15	2.16666667	106.425822	0.233311802	0.238012294	15.1636732	0
20161108	16	2.08333333	68.2930587	0.095366182	0.491652775	16.1499107	0
20161108	17	2.75	103.321221	0.708884754	0.452604774	15.2749045	0
20161108	18	3.66666667	109.641661	1.88090392	0.543782485	13.7061506	-0.307402584
20161108	19	4.08333333	131.045753	2.62993321	0.649530485	13.1394167	0.037552744
20161108	20	2.25	155.300327	2.45150197	0.888889061	12.7181121	-0.256956555
20161108	21	2.41666667	165.132414	1.80813518	0.439808107	11.4759701	0.079915314
20161108	22	2.25	219.644339	1.57751198	0.428409158	12.9836991	0
20161108	23	2	261.963905	1.9428317	0.382450705	10.2624165	-0.515067167
20161109	0	1.33333333	248.700209	1.93883545	0.499312499	9.00172968	-0.070565877
20161109	1	1.5	241.421034	2.11804933	0.360236581	9.97227044	-0.523654181
20161109	2	1.16666667	226.096584	2.47332828	0.310580748	9.34561857	-0.502776185
20161109	3	1.08333333	208.897878	2.11323167	0.3365847	8.50391414	-0.749199081
20161109	4	1.33333333	202.368742	1.74205769	0.303225577	9.18393162	-0.385683134
20161109	5	1.08333333	194.38293	1.50763093	0.490243076	9.18814538	-0.445397987
20161109	6	1.33333333	179.425343	1.62392505	0.469240499	9.9148871	0.125651216
20161109	7	-0.583333333	164.151012	2.45695801	0.450628524	10.6995159	1.66E-16
20161109	8	-1.41666667	161.075501	2.68715091	0.979375779	15.4367642	0.155712755
20161109	9	-0.833333333	160.35802	2.61183165	0.596534323	11.4919181	0
20161109	10	0.333333333	161.236906	2.56316992	0.345653005	13.4066663	0
20161109	11	0.666666667	159.493437	1.95685885	0.366547559	13.2056318	0
20161109	12	1.66666667	131.434028	1.41352381	0.383123036	14.3567702	-0.5685254
20161109	13	2.91666667	110.399118	1.04732399	0.636454813	15.4787751	-0.290600141
20161109	14	2.08333333	105.221055	0.38825919	0.800040198	15.96291	-0.325631645
20161109	15	2.08333333	89.2671682	0.324816904	0.868890668	15.7540885	-0.429789187
20161109	16	2.66666667	106.807356	0.663904564	0.696857495	15.6989357	-0.339455961
20161109	17	3	108.002864	0.944603236	0.787182681	15.2781901	-0.033374832
20161109	18	2.75	105.626847	0.866407614	0.97391863	14.8699392	-0.193053647
20161109	19	3.08333333	110.015642	1.64029676	0.840007733	13.7963727	-0.183160283
20161109	20	3.08333333	111.975206	1.92034557	0.877100532	12.6299894	-0.055092079
20161109	21	3.5	111.508064	1.47647881	0.902349752	11.8160929	-0.170034069
20161109	22	2.5	63.5020444	0.128287815	1.06227234	11.1352078	-0.254332434
20161109	23	2.25	80.4937961	0.231220717	0.901835862	11.0667242	-0.269900313
20161110	0	1.25	46.1565892	0.122186869	0.772215248	10.739588	-0.237084538
20161110	1	1.08333333	97.6415168	0.244209246	0.764977902	9.75235671	-0.265364166
20161110	2	1.16666667	110.484711	0.361308674	0.650765841	9.46664599	0
20161110	3	1.5	109.358319	0.360318183	0.451627131	9.70938987	-0.179512569
20161110	4	0.583333333	113.40594	1.11720889	0.66955736	9.75243458	0.05494408
20161110	5	1.16666667	104.285651	0.733976181	0.627475169	9.46837676	0.039905372
20161110	6	1.16666667	66.1163216	0.22097743	0.749259419	9.51845321	0
20161110	7	1.66666667	106.789619	1.00071068	0.613707008	10.1578629	0
20161110	8	2.16666667	115.20278	1.60182171	0.705606358	11.9028066	0
20161110	9	3.58333333	114.733572	1.11372469	0.812676644	11.6343502	0
20161110	10	3.91666667	114.561487	1.21281693	0.674842829	13.4462445	-0.302949181
20161110	11	3.83333333	117.259433	0.390431739	0.69048103	13.2199495	-0.395211053
20161110	12	4.83333333	114.54817	1.14476998	0.585612388	13.6791019	-0.04805553
20161110	13	4.58333333	114.020442	0.670518094	0.736391172	14.5329839	0
20161110	14	4.08333333	96.7873412	0.158867425	1.0300908	12.9995129	0.21836804
20161110	15	4	5.57172555	0.155393986	0.808485493	14.4714659	0.228520168
20161110	16	2.75	2.40310315	0.135071591	0.873798699	15.4980103	0.041163514
20161110	17	2.33333333	33.0426498	0.120002773	0.90034479	14.704795	0
20161110	18	4.16666667	100.699005	0.364235218	0.623255225	12.8429765	-0.079273995
20161110	19	3.83333333	53.5389738	0.190396852	0.942209193	13.3007647	-0.070495798
20161110	20	2.91666667	345.378711	0.290562185	0.982830038	11.3905954	-0.096161203
20161110	21	2.41666667	347.630724	0.210241178	0.886476704	13.1505919	-0.075169366
20161110	22	2.58333333	116.926667	0.316326113	0.809413701	11.1392062	-0.080746775
20161110	23	2.16666667	333.215955	0.291782612	0.937269654	10.0191227	-0.224403915
20161111	0	1.41666667	23.2082477	0.220605746	0.642953418	10.2882991	-0.197398736
20161111	1	1.75	340.61138	0.18482658	0.752292565	9.24421165	-0.178615177
20161111	2	1.33333333	329.178374	0.266862335	0.979920118	10.3593393	0
20161111	3	0.416666667	327.456738	0.22852466	0.768864991	7.49935334	0
20161111	4	1	1.13390212	0.260661815	0.639372437	9.22552869	0
20161111	5	1.08333333	21.3119918	0.154488584	0.757999895	10.5935638	0
20161111	6	1	343.526292	0.203810632	1.14013964	10.4896837	0
20161111	7	0.916666667	142.008513	0.148211174	0.928645234	11.3079217	0
20161111	8	2.08333333	338.551185	0.309474502	0.711775642	10.6015352	-0.029204263
20161111	9	4	354.723333	0.206284391	0.837114653	12.5864868	0
20161111	10	5.58333333	351.498825	0.101193127	0.855318003	10.3942614	-0.543954325
20161111	12	6.58333333	150.892227	0.24495964	-7.47902508	-93.613126	9.51283154
20161111	13	6.58333333	329.430534	0.029343574	0.54635167	13.1517795	0.102951652
20161111	14	6.75	165.211245	0.015944625	1.23340857	12.6936912	-0.209175355
20161111	15	6.33333333	339.314255	0.219761726	0.651719517	13.8978158	-0.304510287
20161111	16	4.08333333	344.177458	0.118124635	0.892172326	14.8704542	-0.104348041
20161111	17	4.08333333	337.455465	0.315927749	0.924328621	13.3623139	-0.095974339
20161111	18	4.33333333	12.232295	0.266963243	1.20871649	15.3447242	0.078841459
20161111	19	4.25	15.9063408	0.269730665	1.07870621	13.5530899	0.06482097
20161111	20	4.5	30.5212636	0.316267678	0.862788965	12.2443883	-0.106201086
20161111	21	3.66666667	32.6237336	0.244650987	1.03784018	12.0308281	0.029498658
20161111	22	2.66666667	61.8855322	0.23358255	1.47835652	12.392967	0
20161111	23	2.75	106.56057	0.692690774	1.02364981	10.9526506	0
20161112	0	2.66666667	116.992217	0.464461982	1.15084755	10.6973612	0
20161112	1	2.08333333	128.819204	0.251544788	1.01631848	10.2236784	0.026791518
20161112	2	2.25	147.355177	0.252245765	0.898904337	10.3355293	0.051676729
20161112	3	1.66666667	118.981557	0.398375607	1.02181834	7.26872416	0.05874288
20161112	4	1.41666667	128.438061	0.424700427	0.870595081	10.043364	0.053689217
20161112	5	0.666666667	130.902998	0.546034417	0.87663531	10.1789345	0.07483375
20161112	6	0.25	171.96808	0.329107341	1.3304789	10.751738	-0.019230481
20161112	7	0.166666667	179.624114	0.397790348	1.31656502	11.8662528	-0.052881624
20161112	8	0.416666667	150.864398	0.782820515	1.22339591	13.406516	-0.074991794
20161112	9	3.33333333	172.206048	1.37154574	1.13637815	12.2235498	0.067753069
20161112	10	3.16666667	177.306291	1.64516413	0.844895469	12.8038717	0.049409281
20161112	11	3.33333333	180.246927	1.53702982	0.7643621	14.2700691	-0.0240054
20161112	12	3.66666667	174.567563	1.35336901	0.91639925	14.669047	-0.068564706
